These are the IPNI ranks which won't transform. [A-Za-z0-9*ç] is stripped.	.
#***	***
#*	*
#2	2
#A	A
#agamosp	agamosp
#agamovar	agamovar
#agglom	agglom
#alpha	alpha
#ap	ap
#B	B
#beta	beta
#C	C
#cinfragen	cinfragen
#convar	convar
#cycl	cycl
#D	D
#E	E
#epsilon	epsilon
#fam	fam
#f	f
#fjuv	fjuv
#forma	forma
#gamma	gamma
#gen	gen
#genitor	genitor
#gen ser	gen ser
#G	G
#grex	grex
#grexsect	grexsect
#group	group
#Gruppe	Gruppe
#H	H
#II	II
#infrafamunranked	infrafamunranked
#infragengrex	infragengrex
#infragengrex	infragengrex
#infragen	infragen
#infragenunranked	infragenunranked
#infraspunranked	infraspunranked
#linea	linea
#lus	lus
#microgen	microgen
#modif	modif
#monstr	monstr
#mut	mut
#nm	nm
#nothof	f
#nothogrex	grex
#nothosect	sect
#nothoser	ser
#nothosubgen	subgen
#nothosubsect	subsect
#nothosubsp	subsp
#nothosubtrib	subtrib
#nothovar	var
#oec	oec
#proles	proles
#prol	prol
#psp	psp
#race	race
#sect	sect
#ser	ser
#spec	spec
#stirps	stirps
#subfam	subfam
#subf	subf
#subgenitor	subgenitor
#subgen	subgen
#subhybr	subhybr
#sublus	sublus
#subsect	subsect
#subser	subser
#subspec	subspec
#subsp	subsp
#subsubforma	subsubforma
#subsubvar	subsubvar
#subtrib	subtrib
#subvar	subvar
#supersect	supersect
#superser	superser
#supersubtrib	supersubtrib
#supertrib	supertrib
#suprasect	suprasect
#trib	trib
#var	var
#Z	Z

These are from the Data Improvement Team's work	.
forma	f
subspec	subsp
lusus	lus
modification	modif
nar	var
raca	race
raça	race
raçe	race
rasse	race
sp	spec
subfl	subf
sublusus	sublus
subs	subsp
subsp	subspec
subspecioid	subsp
susp	subsp
